clubLabel,venueLabel,coordinates,countryLabel
Cowdenbeath F.C.,"Central Park, Cowdenbeath",Point(-3.34709722 56.10873889),United Kingdom
Crawley Town F.C.,Broadfield Stadium,Point(-0.194767 51.099706),United Kingdom
Crewe Alexandra F.C.,Alexandra Stadium,Point(-2.435747 53.087419),United Kingdom
Criciúma Esporte Clube,Estádio Heriberto Hülse,Point(-49.3675 -28.684167),Brazil
Crucero del Norte,Estadio Comandante Andrés Guacurarí,Point(-55.852222 -27.498611),Argentina
Crumlin Star,Solitude,Point(-5.947272 54.619517),United Kingdom
Crusaders F.C.,Seaview,Point(-5.921925 54.624294),United Kingdom
Cruz Azul,Estadio Azul,Point(-99.178225 19.383389),Mexico
Cruz Azul Hidalgo,Estadio 10 de Diciembre,Point(-99.32531118 19.99395814),Mexico
Cruzeiro E.C.,Mineirão,Point(-43.970833 -19.865833),Brazil
Cruzeiro Esporte Clube,Estádio Aluízio Ferreira,Point(-63.910556 -8.757222),Brazil
Crystal Palace F.C.,Selhurst Park,Point(-0.085555555 51.398333333),United Kingdom
Crystal Palace F.C.,Crystal Palace Park,Point(-0.0705 51.4203),United Kingdom
Cultural y Deportiva Leonesa,Estadio Reino de León,Point(-5.576699 42.587482),Spain
Cultural y Deportiva Leonesa B,Q6173786,Point(-5.56211111 42.57488889),Spain
Cwmbrân Town A.F.C.,Cwmbran Stadium,Point(-3.02 51.6428),United Kingdom
Cádiz C.F.,Estadio Ramón de Carranza,Point(-6.273056 36.502778),Spain
Cádiz CF B,Q5770597,Point(-6.13139 36.4918),Spain
Córdoba CF,Estadio Nuevo Arcángel,Point(-4.764642 37.872294),Spain
Cúcuta Deportivo,General Santander,Point(-72.501717 7.894478),Colombia
D.C. United,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),United States of America
D.C. United U-23,Maryland SoccerPlex,Point(-77.3101 39.1527),United States of America
D.C. United Women,Maryland SoccerPlex,Point(-77.3101 39.1527),United States of America
DSC Wanne-Eickel,Q1713400,Point(7.1719 51.522),Germany
DSV Leoben,Donawitz Stadium,Point(15.0788 47.3768),Austria
Daegu FC,Daegu Stadium,Point(128.690305555 35.829777777),South Korea
Daegu Korea Powertrain FC,Daegu Stadium,Point(128.690305555 35.829777777),South Korea
Daejeon Citizen FC,Daejeon World Cup Stadium,Point(127.325167 36.365139),South Korea
Dafni Troulloi,Troulloi Community Stadium,Point(33.612047 35.028193),Cyprus
Dagenham & Redbridge F.C.,Victoria Road,Point(0.159867 51.5478),United Kingdom
Dagenham F.C.,Victoria Road,Point(0.159867 51.5478),United Kingdom
Dalkurd FF,Domnarvsvallen,Point(15.434166666 60.495),Sweden
Dallas Sidekicks,Allen Event Center,Point(-96.6576 33.1273),United States of America
Dallas Tornado,Cotton Bowl,Point(-96.759722222 32.779722222),United States of America
Dandenong Thunder SC,George Andrews Reserve,Point(145.211944 -38.0025),Australia
Danubio F.C.,Jardines Del Hipódromo,Point(-56.132281 -34.838719),Uruguay
Daring Club Motema Pembe,Stade des Martyrs,Point(15.31 -4.330417),Democratic Republic of the Congo
Darlington F.C.,The Darlington Arena,Point(-1.534394 54.508425),United Kingdom
Dartford F.C.,Princes Park,Point(0.2308 51.437172),United Kingdom
Darwin Olympic SC,Darwin Football Stadium,Point(130.880833 -12.396389),Australia
De Graafschap,De Vijverberg,Point(6.309722 51.955833),Netherlands
Debed Alaverdi,Alaverdi City Stadium,Point(44.648611 41.096389),Armenia
Debreceni VSC,Stadion Oláh Gábor Út,Point(21.638882 47.549573),Hungary
Dedebit,Addis Ababa Stadium,Point(38.756417 9.013306),Ethiopia
Defence Force F.C.,Hasely Crawford Stadium,Point(-61.533033 10.661522),Trinidad and Tobago
Defensa y Justicia,"Estadio Norberto ""Tito"" Tomaghello",Point(-58.286511 -34.821753),Argentina
Defensor Arica,Estadio Nacional,Point(-77.033722 -12.067278),Peru
Defensor San Alejandro,Estadio Aliardo Soria Pérez,Point(-74.539167 -8.386389),Peru
Defensor San José,Estadio Mariscal Cáceres,Point(-80.4418659 -3.5571145),Peru
Defensor Sporting Club,Estadio Luis Franzini,Point(-56.166747 -34.916461),Uruguay
Defensor Villa del Mar,Estadio Iván Elías Moreno,Point(-76.9349 -12.2201),Peru
Defensor Zarumilla,Q5847722,Point(-74.934166 -14.831578),Peru
Delfines de Coatzacoalcos,Q5848341,Point(-5.9705 37.3841),Mexico
Delfino Pescara 1936,Stadio Adriatico,Point(14.22944444 42.45527778),Italy
Delfín Sporting Club,Estadio Jocay,Point(-80.70293 -0.964041),Ecuador
Delhi United S.C.,Ambedkar Stadium,Point(77.24235278 28.63899444),India
Delta Force F.C.,Jay Jay Okocha Stadium,Point(6.524141 6.182433),Nigeria
Democrata Futebol Clube,Arena do Jacaré,Point(-44.222022 -19.478794),Brazil
Dempo S.C.,Fatorda Stadium,Point(73.9625 15.28972222),India
Denizlispor,Denizli Atatürk Stadium,Point(29.082433 37.766008),Turkey
Denver Avalanche,McNichols Sports Arena,Point(-105.0225 39.742777777),United States of America
Depor F.C.,Estadio Olímpico Pascual Guerrero,Point(-76.541083 3.429889),Colombia
Deportes Antofagasta,Estadio Regional de Antofagasta,Point(-70.40458333 -23.67013889),Chile
Deportes Colchagua,Q2919402,Point(-70.9865 -34.577),Chile
Deportes Copiapó,Estadio Luis Valenzuela Hermosilla,Point(-70.320833 -27.376667),Chile
Deportes Iquique,Estadio Tierra de Campeones,Point(-70.132937 -20.242413),Chile
Deportes La Serena,Estadio La Portada,Point(-71.251944 -29.911111),Chile
Deportes Linares,Estadio Fiscal de Linares,Point(-71.591033 -35.855425),Chile
Deportes Luis Matte Larraín,Q5638927,Point(-70.5722 -33.6062),Chile
Deportes Magallanes,Estadio Santiago Bueras,Point(-70.749122 -33.507458),Chile
Deportes Melipilla,Estadio Municipal Roberto Bravo Santibáñez,Point(-71.216667 -33.696944),Chile
Deportes Naval,Q5847927,Point(-73.1072 -36.7226),Chile
Deportes Puerto Montt,Estadio Regional de Chinquihue,Point(-72.98705 -41.4915),Chile
Deportes Quindío,Estadio Centenario,Point(-75.698447 4.515307),Colombia
Deportes Savio,Estadio Sergio Antonio Reyes,Point(-88.782272 14.780751),Honduras
Deportes Temuco,Estadio Municipal Germán Becker,Point(-72.619722 -38.742778),Chile
Deportes Tolima,mono,Point(-75.218325 4.429509),Colombia
Deportes Valdivia,Q5847963,Point(-73.214864 -39.83179),Chile
Deportivo Alavés,Mendizorrotza Stadium,Point(-2.688044 42.837111),Spain
Deportivo Anzoátegui,Estadio José Antonio Anzoátegui,Point(-64.656117 10.180083),Venezuela
Deportivo Aragón,Ciudad Deportiva del Real Zaragoza,Point(-0.94899722 41.594625),Spain
Deportivo Cali,Estadio Palmaseca,Point(-76.417036 3.521642),Colombia
Deportivo Colonia,Estadio Miguel Campomar,Point(-57.444167 -34.425833),Uruguay
Deportivo Español,Estadio Nueva España,Point(-58.46453889 -34.65792222),Argentina
Deportivo Español,Estadio Modelo Alberto Spencer Herrera,Point(-79.894369 -2.178861),Ecuador
Deportivo Español,Estadio Arquitecto Ricardo Etcheverry,Point(-58.447639 -34.6185),Argentina
Deportivo Ingeniería,Estadio Huancayo,Point(-75.201944 -12.072778),Peru
Deportivo Junín,Estadio Huancayo,Point(-75.201944 -12.072778),Peru
Deportivo La Coruña Brasil Futebol Clube,Estádio Eduardo Guinle,Point(-42.541389 -22.298611),Brazil
Deportivo Lara,Estadio Santiago Bernabeu,Point(-69.219858 9.993544),Venezuela
Deportivo Maipú,Q5848296,Point(-68.79277778 -32.9837),Argentina
Deportivo Maldonado,Estadio Domingo Burgueño,Point(-54.955278 -34.914444),Uruguay
Deportivo Mandiyú,Estadio José Antonio Romero Feris,Point(-58.829883 -27.483778),Argentina
Deportivo Merlo,Estadio José Manuel Moreno,Point(-58.732975 -34.680408),Argentina
Deportivo Mongomo,Estadio La Libertad,Point(9.761439 1.862765),Equatorial Guinea
Deportivo Morba,Estadio Mansiche,Point(-79.030977 -8.106655),Peru
Deportivo Morón,Coto,Point(-9.116666666 39.423888888),Argentina
Deportivo Municipal de Huamanga,Estadio Ciudad de Cumaná,Point(-74.2167 -13.15),Peru
Deportivo Neza,Estadio Neza 86,Point(-98.987042 19.405786),Mexico
Deportivo Pasto,Estadio Departamental Libertad,Point(-77.277608 1.198011),Colombia
Deportivo Pereira,Estadio Hernán Ramírez Villegas,Point(-75.75219 4.804804),Colombia
Deportivo Petare,Estadio Olímpico,Point(-66.885492 10.491278),Venezuela
Deportivo Pomalca,Estadio Elías Aguirre,Point(-79.860833 -6.768333),Peru
Deportivo Pucallpa,Estadio Aliardo Soria Pérez,Point(-74.539167 -8.386389),Peru
Deportivo Purranque,Q5847848,Point(-73.16075 -40.9059),Chile
Deportivo Quito,Estadio Olímpico Atahualpa,Point(-78.476583 -0.177528),Ecuador
Deportivo Recoleta,Estadio Roque F. Batelhana,Point(-57.6159901 -25.3034502),Paraguay
Deportivo Riestra,Guillermo Laza stadium,Point(-58.443333333 -34.653333333),Argentina
Deportivo SIMA,Q5848411,Point(-77.130708333 -12.063972222),Peru
Deportivo Toluca F.C.,Estadio Nemesio Díez,Point(-99.666794 19.287286),Mexico
Deportivo Táchira,Estadio Polideportivo de Pueblo Nuevo,Point(-72.197778 7.786389),Venezuela
Deportivo Walter Ferretti,Estadio Olímpico del IND Managua,Point(-86.285 12.131667),Nicaragua
Deportivo Wanka,Estadio Huancayo,Point(-75.201944 -12.072778),Peru
Deportivo de La Coruña,Estadio Municipal de Riazor,Point(-8.417372 43.368667),Spain
Derby County F.C.,Pride Park Stadium,Point(-1.447222222 52.915),United Kingdom
Derry City F.C.,Brandywell Stadium,Point(-7.336 54.990633),Ireland
Desouk SC,Desouk Stadium,Point(30.6525 31.143056),Egypt
Desportivo da Praia,Estádio da Várzea,Point(-23.512222 14.916111),Cape Verde
Detroit Cougars,Tiger Stadium,Point(-83.068888888 42.331944444),United States of America
Detroit Express,Pontiac Silverdome,Point(-83.255 42.645833333),United States of America
Deveronvale F.C.,Princess Royal Park,Point(-2.517742 57.663326),United Kingdom
Dhofar S.C.S.C.,Al-Saada Stadium,Point(54.143789 17.082711),Oman
Diablos Rojos de Juliaca,Q5847982,Point(-70.072 -15.301),Peru
Diagoras F.C.,Diagoras Stadium,Point(28.228233 36.438228),Greece
Digenis Akritas Ipsona,Stelios Chari Stadium,Point(32.95507 34.679186),Cyprus
Digenis Akritas Morphou FC,Makario Stadium,Point(33.314444 35.146111),Cyprus
Digenis Akritas Morphou FC,Kykkos Stadium,Point(33.340042 35.159383),Cyprus
Digenis Oroklinis,Oroklini Community Stadium,Point(33.656277777 34.987222222),Cyprus
Dijon FCO,Stade Gaston Gérard,Point(5.069247 47.324469),France
Diplomates Football Club du 8ème Arrondissement,Barthélemy Boganda Stadium,Point(18.564389 4.374417),Central African Republic
Dire Dawa City,Dire Dawa Stadium,Point(41.858056 9.581944),Ethiopia
Diriangén FC,Estadio Cacique Diriangén,Point(-86.243611 11.861111),Nicaragua
Diyarbakırspor,Diyarbakır Atatürk Stadium,Point(40.221461 37.914261),Turkey
Diósgyőri VTK,DVTK Stadion,Point(20.717222 48.099444),Hungary
Djoliba AC,Stade 26 mars,Point(-7.921667 12.604444),Mali
Djurgårdens I.F.,Stockholm Olympic Stadium,Point(18.078889 59.345278),Sweden
Djurgårdens IF Dam,Stockholm Olympic Stadium,Point(18.078889 59.345278),Sweden
Dolphins F.C.,Liberation Stadium,Point(7.02194 4.825),Nigeria
Don Bosco FC,Saint-Therese Park,Point(-72.2925 18.515555555),Haiti
Doncaster Rovers,Keepmoat Stadium,Point(-1.113889 53.509722),United Kingdom
Doncaster Rovers Belles L.F.C.,Keepmoat Stadium,Point(-1.113889 53.509722),United Kingdom
Dorados Fuerza UACH,Estadio Olímpico de la UACH,Point(-106.143889 28.712778),Mexico
Dorados de Sinaloa,Estadio Carlos González,Point(-107.404167 24.830556),Mexico
Dorchester Town F.C.,The Avenue Stadium,Point(-2.445556 50.700667),United Kingdom
Dover Athletic F.C.,Crabble Athletic Ground,Point(1.284883 51.137814),United Kingdom
Doxa Katokopias F.C.,Makario Stadium,Point(33.314444 35.146111),Cyprus
Doxa Paliometochou,Doxa Paliometochou Stadium,Point(33.193331 35.10828),Cyprus
Drammen FK,Marienlyst Stadion,Point(10.201333 59.734392),Norway
Dreams Metro Gallery FC,Siu Sai Wan Sports Ground,Point(114.249063 22.267434),Japan
Dresdner SC,Heinz-Steyer-Stadion,Point(13.748333 51.041111),Germany
Drogheda United F.C.,Hunky Dorys Park,Point(-6.357222 53.723336),Ireland
Droylsden F.C.,Butcher's Arms Ground,Point(-2.1449 53.481858),United Kingdom
Druids United F.C.,Plaskynaston Lane,Point(-3.070833 52.972778),United Kingdom
Druk Pol FC,Changlimithang Stadium,Point(89.641056 27.471417),Bhutan
Druk Star F.C.,Changlimithang Stadium,Point(89.641056 27.471417),Bhutan
Dublin City F.C.,Dalymount Park,Point(-6.275 53.361667),Ireland
Dublin City F.C.,Dalymount Park,Point(-6.275 53.3619),Ireland
Dulwich Hamlet F.C.,Champion Hill,Point(-0.084061 51.461231),United Kingdom
Dumbarton F.C.,Dumbarton Football Stadium,Point(-4.56144 55.9384),United Kingdom
Dundalk F.C.,Oriel Park,Point(-6.416917 53.998944),Ireland
Dundee F.C.,Dens Park,Point(-2.973194 56.475264),United Kingdom
Dundee Football Club,Tannadice Park,Point(-2.968961 56.474703),United Kingdom
Dundee Wanderers F.C.,Tannadice Park,Point(-2.968961 56.474703),United Kingdom
Dunfermline Athletic F.C.,East End Park,Point(-3.441906 56.075308),United Kingdom
Dungannon Swifts F.C.,Stangmore Park,Point(-6.714135 54.496307),United Kingdom
Duque de Caxias Futebol Clube,Estádio Romário de Souza Faria,Point(-43.305108 -22.585503),Brazil
Durban Stars F.C.,SJ Smith Stadium,Point(30.95139 -29.94916),South Africa
Durham Flames,Oshawa Civic Auditorium,Point(-78.890998 43.887795),Canada
Dynamo Dresden,Stadion Dresden,Point(13.747778 51.040278),Germany
Dynamo Pervolion,Pervolia Community Stadium,Point(33.576483 34.825996),Cyprus
Dyskobolia Grodzisk Wielkopolski,Dyskobolia Stadium,Point(16.378128 52.229031),Poland
E.C. Vitória,Barradão,Point(-38.427 -12.919),Brazil
E.S. Troyes A.C.,Stade de l'Aube,Point(4.098458 48.307561),France
E.S. Wasquehal,Stadium Lille Métropole,Point(3.1375 50.631111),France
ECCO City Green,Francistown Stadium,Point(27.498565 -21.160261),Botswana
EGS Gafsa,Stade du 7 Novembre de Gafsa,Point(8.771667 34.4225),Tunisia
ENAD Polis Chrysochous FC,Polis Chrysochous Municipal Stadium,Point(32.432468 35.038044),Cyprus
ENAP Paphos,GSK Stadium,Point(32.424619 34.775323),Cyprus
ENAZ Agia Zoni Limassol,GSO Stadium,Point(33.053629 34.681224),Cyprus
ENPPI Club,Petro Sport Stadium,Point(31.446 30.027),Egypt
ENTHOI Lakatamia FC,EN THOI Stadium,Point(33.308419 35.124505),Cyprus
EPA Larnaca FC,GSZ Stadium (1928),Point(33.628333 34.914167),Cyprus
EPA Larnaca FC,GSZ Stadium,Point(33.599722 34.925556),Cyprus
ES Hammam-Sousse,Stade Municipal Bou Ali-Lahouar,Point(10.5986 35.8549),Tunisia
ES Mostaganem,Stade Mohamed Bensaïd,Point(0.083333 35.9333),Algeria
ES Sétif,Stade 8 Mai 1945,Point(5.393056 36.186944),Algeria
ES Tunis,Stade El Menzah,Point(10.185361 36.839778),Tunisia
ES Tunis,Stade Olympique de Radès,Point(10.27275 36.747775),Tunisia
ES Zarzis,Stade Jlidi,Point(11.110556 33.491667),Tunisia
ESV Ingolstadt,Tuja-Stadion,Point(11.443056 48.744444),Germany
East Bengal F.C.,Salt Lake Stadium,Point(88.409167 22.568889),India
East End Lions F.C.,National Stadium,Point(-13.249056 8.479556),Sierra Leone
East Fife F.C.,Bayview Stadium,Point(-2.99902 56.1887),United Kingdom
East Stirlingshire F.C.,Ochilview Park,Point(-3.81465833 56.02824444),United Kingdom
Eastbourne Borough F.C.,Priory Lane,Point(0.320767 50.804181),United Kingdom
Eastbourne Town F.C.,The Saffrons,Point(0.275033 50.766075),United Kingdom
Eastbourne United Association F.C.,The Oval,Point(0.305222 50.780986),United Kingdom
Eastern Suburbs F.C.,Heath Park,Point(153.0525 -27.478056),Australia
Ebbsfleet United F.C.,Stonebridge Road,Point(0.322272 51.449539),United Kingdom
Ebbw Vale F.C.,Eugene Cross Park,Point(-3.206389 51.785278),United Kingdom
Ebusua Dwarfs,Cape Coast Sports Stadium,Point(-1.257778 5.111389),Ghana
Edessaikos F.C.,Municipal Stadium of Edessa,Point(22.0521 40.8022),Greece
Edirnespor,Edirne 25 Kasım Stadium,Point(26.5544 41.6706),Turkey
Edmonton Aviators,Commonwealth Stadium,Point(-113.476111111 53.559722222),Canada
Ehime F.C.,Ningineer Stadium,Point(132.797594 33.768178),Japan
Eintracht Bad Kreuznach,Q1457827,Point(7.86944 49.8528),Germany
Eintracht Braunschweig,Eintracht-Stadion,Point(10.521389 52.29),Germany
Eintracht Frankfurt,Commerzbank-Arena,Point(8.645278 50.068611),Germany
Eintracht Wetzlar,Q523450,Point(8.494722 50.553611),Germany
El Farolito Soccer Club,Boxer Stadium,Point(-122.445 37.7258),United States of America
El Gouna FC,El Gouna Stadium,Point(33.66 27.36),Egypt
El Jaish SC,Qatar SC Stadium,Point(51.512366 25.317155),Qatar
El Mokawloon SC,Arab Contractors Stadium,Point(31.297 30.0512),Egypt
El Paso Patriots,Patriot Stadium,Point(-106.385 31.7715),United States of America
El Tanque Sisley,Estadio Victor Della Valle,Point(-56.057325 -34.87235),Uruguay
El-Olympi,Alexandria Stadium,Point(29.9132 31.1971),Egypt
Elche CF,Estadio Manuel Martínez Valero,Point(-0.663333 38.266944),Spain
Eleven Arrows F.C.,Kuisebmund Stadium,Point(14.528641 -22.931964),Namibia
Elgin City F.C.,Borough Briggs,Point(-3.32092 57.6518),United Kingdom
Elia Lythrodonta,Elia Ground,Point(33.303813 34.950748),Cyprus
Ellacombe F.C.,Plainmoor,Point(-3.523825 50.476408),United Kingdom
Ellinismos Akakiou,Ellinismos Akakiou Stadium,Point(33.123423 35.13729),Cyprus
Elman FC,Mogadishu Stadium,Point(45.4 2.116667),Somalia
Elpida Astromeriti,Peristerona Stadium,Point(33.083889 35.129167),Cyprus
Elpida Liopetriou,Liopetri Community Stadium,Point(33.894013 35.000674),Cyprus
Elpida Xylofagou,Michalonikion Stadium,Point(33.842963 34.970792),Cyprus
Elpis FC,Fenerbahce Sukru Saracoglu Stadium,Point(29.036667 40.987778),Turkey
Empoli F.C.,Stadio Carlo Castellani,Point(10.955 43.726389),Italy
En Avant de Guingamp,Fred-Aubert Stadium,Point(-2.74373 48.5088),France
En Avant de Guingamp,Stade de Roudourou,Point(-3.164597222 48.566286111),France
Energetik FC,Yashar Mammadzade Stadium,Point(47.0425 40.763056),Azerbaijan
Enosi Agion Omologiton,GSP Stadium (1902),Point(33.3558 35.168),Cyprus
Enosi Neon Ypsona,Stelios Chari Stadium,Point(32.95507 34.679186),Cyprus
Enosi Neon Ypsona-Digenis Ipsona,Stelios Chari Stadium,Point(32.95507 34.679186),Cyprus
Enosis Kokkinotrimithia,Kokkinotrimithia Community Stadium,Point(33.200218 35.162729),Cyprus
Enosis Neon Ayia Napa,Ayia Napa Municipal Stadium,Point(34.011626 34.993482),Cyprus
Enosis Neon Paralimni FC,Paralimni Stadium,Point(33.987222 35.030833),Cyprus
Enosis Neon Parekklisia F.C.,Parekklisia Community Stadium,Point(33.160694444 34.736166666),Cyprus
Enosis Neon Trust,GSP Stadium (1902),Point(33.3558 35.168),Cyprus
Enosis Panelliniou-Antaeus Limassol,GSO Stadium,Point(33.053629 34.681224),Cyprus
Entente SSG,Parc des Sports Michel Hidalgo,Point(2.275528 48.974678),France
Enugu Rangers,Nnamdi Azikiwe Stadium,Point(7.49638889 6.44416667),Nigeria
Enyimba International F.C.,Enyimba International Stadium,Point(7.37583333 5.10194444),Nigeria
Erbil SC,Franso Hariri Stadium,Point(44.011483 36.172582),Iraq
Ergotelis F.C.,Pankritio Stadium,Point(25.106111111 35.336666666),Greece
Erith & Belvedere F.C.,Park View Road,Point(0.116514 51.460317),United Kingdom
Ermis Aradippou FC,Antonis Papadopoulos Stadium,Point(33.620922 34.937422),Cyprus
Ersboda SK,T3 Arena,Point(20.285277777 63.83),Sweden
Erzurumspor,Kazım Karabekir Stadium,Point(41.238114 39.911197),Turkey
Esan United F.C.,Sri Nakhon Lamduan Stadium,Point(104.340581 15.101036),Thailand
Esbjerg fB,Blue Water Arena,Point(8.439444 55.481944),Denmark
Eskilstuna City FK,Tunavallen,Point(16.495 59.370667),Sweden
Eskişehirspor,Eskişehir Atatürk Stadium,Point(30.513833 39.77075),Turkey
España F.C.,"Estadio Jorge ""Mágico"" González",Point(-89.215426 13.698298),El Salvador
Esporte Clube Bahia,Arena Fonte Nova,Point(-38.504252777 -12.978819444),Brazil
Esporte Clube Boa Vontade,Estádio Nhozinho Santos,Point(-44.289145 -2.536286),Brazil
Esporte Clube Comercial,Morenão,Point(-54.609722 -20.501389),Brazil
Esporte Clube Corinthians,Estádio Eduardo José Farah,Point(-51.415 -22.098611),Brazil
Esporte Clube Flamengo,Albertão,Point(-42.793 -5.116),Brazil
Esporte Clube Juventude,Estádio Alfredo Jaconi,Point(-51.176 -29.162),Brazil
Esporte Clube Macapá,Zerão,Point(-51.080833 5.56E-4),Brazil
Esporte Clube Pelotas,Estádio Boca do Lobo,Point(-52.336111 -31.761111),Brazil
Esporte Clube Santo André,Estádio Bruno José Daniel,Point(-46.509167 -23.669444),Brazil
Esporte Clube São Bento,Estádio Municipal Walter Ribeiro,Point(-47.449056 -23.489556),Brazil
Esporte Clube Tigres do Brasil,Estádio de Los Larios,Point(-43.330556 -22.610833),Brazil
Esteghlal Ahvaz F.C.,Takhti Stadium,Point(48.665008 31.314397),Iran
Esteghlal F.C.,Azadi Stadium,Point(51.275528 35.724417),Iran
Esteghlal Meli-Sanati Khuzestan F.C.,Takhti Stadium,Point(48.665008 31.314397),Iran
Esteghlal Rasht F.C.,Shahid Dr. Azodi Stadium,Point(49.589072 37.264627),Iran
Estrella Roja FC,Brígido Iriarte Stadium,Point(-66.941667 10.482778),Venezuela
Estudiantes F.C.,Estadio Cuscatlán,Point(-89.222358 13.681089),El Salvador
Estudiantes Tecos,Estadio Tres de Marzo,Point(-103.416136 20.693753),Mexico
Estudiantes Tecos Reserves,Estadio Tres de Marzo,Point(-103.416136 20.693753),Mexico
Estudiantes de Altamira,Estadio Altamira,Point(-97.910718 22.401764),Mexico
Estudiantes de Buenos Aires,Estadio Ciudad de Caseros,Point(-58.55675 -34.606056),Argentina
Estudiantes de Medicina,Estadio José Picasso Peratta,Point(-75.7389661 -14.067981),Peru
Estudiantes de Mérida (AKD),Estadio Metropolitano de Mérida,Point(-71.216667 8.556389),Venezuela
Estudiantes de Río Cuarto,Q5847863,Point(-64.3478 -33.1153),Argentina
Ethiopian Coffee FC,Addis Ababa Stadium,Point(38.756417 9.013306),Ethiopia
Ethiopian Insurance F.C.,Addis Ababa Stadium,Point(38.756417 9.013306),Ethiopia
Ethnikos Achna FC,Dasaki Stadium,Point(33.765 35.033889),Cyprus
Ethnikos Assia F.C.,Makario Stadium,Point(33.314444 35.146111),Cyprus
Ethnikos Gazoros F.C.,Serres Municipal Stadium,Point(23.546577 41.084689),Greece
Ethnikos Latsion FC,Latsia Municipal Stadium,Point(33.391035 35.113422),Cyprus
Ethnikos Piraeus F.C.,Hellinikon Stadium,Point(23.729256 37.897597),Greece
Etoile Olympique de la Goulette et Kram,Stade Abdelaziz Chtioui,Point(10.32 36.875),Tunisia
Ettifaq FC,Prince Mohamed bin Fahd Stadium,Point(50.1141 26.4272),Saudi Arabia
Evagoras Paphos,Pafiako Stadium,Point(32.440144 34.769186),Cyprus
Everton F.C.,Goodison Park,Point(-2.966388888 53.438888888),United Kingdom
Everton de Viña del Mar,Estadio SausaYash,Point(-71.535233 -33.014397),Chile
Evian Thonon Gaillard F.C.,"Parc des Sports, Annecy",Point(6.120092 45.917081),France
Excursionistas,Q5558581,Point(-58.443 -34.5589),Argentina
Exeter City F.C.,St James Park,Point(-3.52115 50.730713888),United Kingdom
Express F.C.,Muteesa II Stadium,Point(32.58111111 0.31361111),Uganda
Extremadura Femenino CF,Estadio Francisco de la Hera,Point(-6.414606 38.684411),Spain
Extremadura UD,Estadio Francisco de la Hera,Point(-6.414606 38.684411),Spain
F. C. Itzaes,Estadio Carlos Iturralde,Point(-89.593611 20.945833),Mexico
F.B.C. Torinese,Velodrome Humbert I,Point(7.66028 45.0569),Italy
F.C. Aboomoslem,Samen Al-Aeme Stadium,Point(59.383829 36.425944),Iran
F.C. Arouca,Estádio Municipal de Arouca,Point(-8.24861111 40.92833333),Portugal
F.C. Bari 1908,Stadio San Nicola,Point(16.840072 41.084736),Italy
F.C. Blau-Weiß Linz,Linzer Stadion,Point(14.276389 48.293333),Austria
F.C. Bunyodkor,Bunyodkor Stadium,Point(69.2125 41.279722),Uzbekistan
F.C. Cape Town,NNK Rugby Stadium,Point(18.583025 -33.893841),South Africa
F.C. Civics Windhoek,Sam Nujoma Stadium,Point(17.090975 -22.60763611),Namibia
F.C. Copenhagen,Parken Stadium,Point(12.572203 55.702469),Denmark
F.C. Crotone,Stadio Ezio Scida,Point(17.116667 39.079167),Italy
F.C. Dallas,Toyota Stadium,Point(-96.835158333 33.154458333),United States of America
F.C. Ebedei,Otunba Dipo Dina International Stadium,Point(3.920278 6.820833),Nigeria
F.C. Etar,Ivaylo Stadium,Point(25.620556 43.077222),Bulgaria
F.C. Famalicão,Estádio Municipal 22 de Junho,Point(-8.52242222 41.40127778),Portugal
F.C. Gifu,Gifu Nagaragawa Stadium,Point(136.766052 35.441337),Japan
F.C. Girondins de Bordeaux,Stade Bordeaux-Atlantique,Point(-0.563333 44.896944),France
F.C. Halifax Town,The Shay,Point(-1.859167 53.716111),United Kingdom
F.C. Hansa Rostock,DKB-Arena,Point(12.095188888 54.08495),Germany
F.C. Lorient,Stade du Moustoir,Point(-3.369733 47.748256),France
F.C. Machida Zelvia,Machida Athletic Stadium,Point(139.438889 35.5925),Japan
F.C. Metz,Stade Saint-Symphorien,Point(6.159511 49.109813),France
F.C. Municipal Valencia,Estadio Fausto Flores Lagos,Point(-87.19339 13.291612),Honduras
F.C. Nantes,Stade de la Beaujoire,Point(-1.525278 47.255556),France
F.C. Nazareth Illit,"Green Stadium, Nazareth Illit",Point(35.311325 32.6898),Israel
F.C. New York,Belson Stadium,Point(-73.792838 40.724307),United States of America
F.C. Paços de Ferreira,Estádio da Mata Real,Point(-8.385581 41.271353),Portugal
F.C. Penafiel,Estádio Municipal 25 de Abril,Point(-8.277919 41.2117),Portugal
F.C. Porto,Estádio do Dragão,Point(-8.583933 41.161758),Portugal
F.C. Pro Vercelli 1892,Stadio Silvio Piola,Point(8.595833 45.435833),Italy
F.C. Rieti,Stadio Centro d'Italia – Manlio Scopigno,Point(12.886797 42.410954),Italy
F.C. Rusa Fuik,National Stadium,Point(125.580611 -8.557944),East Timor
F.C. Ryūkyū,Okinawa Athletic Stadium,Point(127.820993 26.308612),Japan
F.C. Sochaux-Montbéliard,Stade Auguste Bonal,Point(6.811094 47.512403),France
F.C. Suzuka Rampole,Suzuka Sports Garden,Point(136.515833 34.834444),Japan
F.C. Südtirol,Stadio Druso,Point(11.345385 46.49234),Italy
F.C. Tokyo,Ajinomoto Stadium,Point(139.527139 35.664278),Japan
F.C. United of Manchester,Gigg Lane,Point(-2.294822 53.580506),United Kingdom
